Sample_ID,Sentrix_ID,Sentrix_Position
1533490053_R03C01,1533490053,R03C01
0727750028_R02C01,0727750028,R02C01
2232360006_R06C01,2232360006,R06C01
2232360056_R04C01,2232360056,R04C01
2232360167_R01C01,2232360167,R01C01
0722330084_R02C01,0722330084,R02C01
0551600067_R05C01,0551600067,R05C01
1490030230_R03C01,1490030230,R03C01
1492570236_R02C01,1492570236,R02C01
1496710042_R02C01,1496710042,R02C01
1496710042_R05C01,1496710042,R05C01
1496710042_R07C01,1496710042,R07C01
1496710092_R01C01,1496710092,R01C01
1496710171_R06C01,1496710171,R06C01
1496710207_R02C01,1496710207,R02C01
1496710220_R01C01,1496710220,R01C01
1496710224_R01C01,1496710224,R01C01
1496850037_R03C01,1496850037,R03C01
1496850056_R03C01,1496850056,R03C01
1496850083_R05C01,1496850083,R05C01
1496850152_R01C01,1496850152,R01C01
1496850152_R02C01,1496850152,R02C01
1496850166_R02C01,1496850166,R02C01
1496850166_R07C01,1496850166,R07C01
1496850175_R05C01,1496850175,R05C01
1496850202_R05C01,1496850202,R05C01
1496850203_R05C01,1496850203,R05C01
1496860019_R04C01,1496860019,R04C01
1496860040_R08C01,1496860040,R08C01
1496860105_R06C01,1496860105,R06C01
1503590073_R05C01,1503590073,R05C01
1503670145_R07C01,1503670145,R07C01
1503670149_R05C01,1503670149,R05C01
1503670154_R04C01,1503670154,R04C01
1503670181_R07C01,1503670181,R07C01
1503670196_R06C01,1503670196,R06C01
1516260005_R04C01,1516260005,R04C01
1516260006_R06C01,1516260006,R06C01
1516260034_R01C01,1516260034,R01C01
1516270011_R01C01,1516270011,R01C01
1516270015_R01C01,1516270015,R01C01
1516270021_R02C01,1516270021,R02C01
1516270021_R07C01,1516270021,R07C01
1516270038_R07C01,1516270038,R07C01
1516270056_R07C01,1516270056,R07C01
1516330003_R01C01,1516330003,R01C01
1516330007_R08C01,1516330007,R08C01
1516330010_R06C01,1516330010,R06C01
1516330013_R06C01,1516330013,R06C01
1516330018_R03C01,1516330018,R03C01
1516330018_R04C01,1516330018,R04C01
1516330030_R01C01,1516330030,R01C01
1516330054_R08C01,1516330054,R08C01
1516330058_R04C01,1516330058,R04C01
1516340003_R08C01,1516340003,R08C01
1516340009_R05C01,1516340009,R05C01
1516340035_R06C01,1516340035,R06C01
1516340039_R08C01,1516340039,R08C01
1516350006_R01C01,1516350006,R01C01
1516350011_R01C01,1516350011,R01C01
1516350011_R06C01,1516350011,R06C01
1516350013_R03C01,1516350013,R03C01
1516350025_R01C01,1516350025,R01C01
1516350031_R07C01,1516350031,R07C01
1516350032_R01C01,1516350032,R01C01
1516350045_R02C01,1516350045,R02C01
1516350045_R08C01,1516350045,R08C01
1530470047_R04C01,1530470047,R04C01
1530480003_R01C01,1530480003,R01C01
1530480016_R08C01,1530480016,R08C01
1530480020_R01C01,1530480020,R01C01
1530480036_R05C01,1530480036,R05C01
1530480038_R03C01,1530480038,R03C01
1530480044_R05C01,1530480044,R05C01
1530480050_R04C01,1530480050,R04C01
1530480050_R07C01,1530480050,R07C01
1530480050_R08C01,1530480050,R08C01
1533480011_R08C01,1533480011,R08C01
1533480022_R07C01,1533480022,R07C01
1533480024_R05C01,1533480024,R05C01
1533480047_R06C01,1533480047,R06C01
1533480057_R07C01,1533480057,R07C01
1533490054_R03C01,1533490054,R03C01
1533490054_R06C01,1533490054,R06C01
1533490054_R07C01,1533490054,R07C01
1533490055_R02C01,1533490055,R02C01
1533490055_R08C01,1533490055,R08C01
1533500018_R02C01,1533500018,R02C01
1533500018_R06C01,1533500018,R06C01
1533500022_R02C01,1533500022,R02C01
1533500022_R04C01,1533500022,R04C01
1533500022_R08C01,1533500022,R08C01
1533500043_R06C01,1533500043,R06C01
1533500044_R06C01,1533500044,R06C01
1533500044_R07C01,1533500044,R07C01
1533510005_R06C01,1533510005,R06C01
1533510005_R07C01,1533510005,R07C01
1533510009_R08C01,1533510009,R08C01
1533510011_R04C01,1533510011,R04C01
1533510049_R04C01,1533510049,R04C01
2172220050_R07C01,2172220050,R07C01
2410000050_R04C01,2410000050,R04C01
2410000043_R03C01,2410000043,R03C01
2410000044_R02C01,2410000044,R02C01
2410000044_R05C01,2410000044,R05C01
